Time,long,lat,altit,press
219.385127314815,4.66461278,45.71803535,13038.34,178.65
219.385821759259,4.51803877,45.64501979,13040.45,178.64
219.386516203704,4.37163966,45.57184182,13042.3,178.61
219.387210648148,4.2255272,45.4984398,13043.92,178.6
219.387905092593,4.08019464,45.42508314,13045.01,178.62
219.388599537037,3.93555455,45.35168961,13045.12,178.63
219.389293981481,3.79183339,45.27840941,13047.24,178.6
219.389988425926,3.64708562,45.2046317,13044.97,178.7
219.39068287037,3.5019526,45.130571,13050.28,178.6
219.391377314815,3.35823474,45.0565253,13049.62,178.61
219.392071759259,3.21489481,44.98217205,13048.74,178.67
219.392766203704,3.06708298,44.91128678,13053.15,178.62
219.393460648148,2.91754411,44.84329054,13049.06,178.7
219.394155092593,2.76899475,44.77609371,13051.55,178.65
219.394849537037,2.62090744,44.70879011,13051.85,178.67
219.395543981481,2.47303687,44.64125216,13051.75,178.7
219.396238425926,2.32455168,44.57325244,13052.6,178.7
219.39693287037,2.17615493,44.50487313,13052.43,178.71
219.397627314815,2.02979887,44.43700834,13055.32,178.64
219.398321759259,1.8846599,44.36938573,13054.2,178.68
219.399016203704,1.74044304,44.30172989,13057.29,178.64
219.399710648148,1.59584875,44.23366745,13055.77,178.66
219.400405092593,1.46399959,44.15378331,13056.23,178.66
219.401099537037,1.33986993,44.06851682,13057.45,178.64
219.401793981481,1.2160646,43.98304898,13058.99,178.65
219.402488425926,1.09207957,43.8970497,13061.43,178.63
219.40318287037,0.96826644,43.81105992,13061.17,178.67
219.403877314815,0.84542672,43.72497265,13062.85,178.61
219.404571759259,0.72393652,43.63950095,13065.4,178.58
219.405266203704,0.60257216,43.55380362,13064.69,178.66
219.405960648148,0.48086932,43.46771946,13065.82,178.64
219.406655092593,0.36011144,43.38176791,13066.23,178.63
219.407349537037,0.24015151,43.29578368,13066.8,178.65
219.408043981481,0.11981462,43.20956493,13068.66,178.65
219.408738425926,-0.00033371,43.12311147,13069.12,178.65
219.40943287037,-0.1195769,43.03686951,13070.41,178.64
219.410127314815,-0.23854883,42.95003958,13070.9,178.65
219.410821759259,-0.35793154,42.8625081,13071.26,178.69
219.411516203704,-0.45834548,42.7632796,13075.73,178.58
219.412210648148,-0.52030102,42.64643122,13073.3,178.68
219.412905092593,-0.58134854,42.52972077,13074.85,178.65
219.413599537037,-0.64259066,42.41279834,13077.64,178.63
219.414293981481,-0.70359476,42.29560746,13079.95,178.65
219.414988425926,-0.76422515,42.17868195,13080.43,178.65
219.41568287037,-0.82460019,42.06165624,13079.95,178.67
219.416377314815,-0.88485262,41.94431458,13082.78,178.63
219.417071759259,-0.94475699,41.82738904,13085.24,178.63
219.417766203704,-1.00445331,41.71021683,13088.63,178.59
219.418460648148,-1.09360874,41.60625584,13086.71,178.69
219.419155092593,-1.20409835,41.51420334,13088.62,178.68
219.419849537037,-1.31479563,41.42199907,13093.78,178.56
219.420543981481,-1.42592294,41.32938815,13091.25,178.63
219.421238425926,-1.53668559,41.23637838,13096.08,178.56
219.42193287037,-1.64730706,41.14290258,13096.03,178.63
219.422627314815,-1.75855729,41.05095486,13098.84,178.58
219.423321759259,-1.87683637,40.96510514,13100.13,178.6
219.424016203704,-1.99578692,40.87903486,13102.25,178.59
219.424710648148,-2.11431067,40.79299703,13105.02,178.58
219.425405092593,-2.2324599,40.70672008,13103.88,178.65
219.426099537037,-2.3509833,40.6199021,13104.6,178.66
219.426793981481,-2.46924038,40.532691,13104.33,178.68
219.427488425926,-2.58703216,40.44582348,13107.97,178.57
219.42818287037,-2.70495867,40.35802339,13106.61,178.67
219.428877314815,-2.82266258,40.27030088,13107.39,178.66
219.429571759259,-2.93964713,40.18297164,13108.14,178.65
219.430266203704,-3.0563398,40.0952665,13112.54,178.57
219.430960648148,-3.17291932,40.00741273,13113.6,178.57
